city,title,url,image,location
Akdagmadeni,"Live camera in Turkey, Akdagmadeni",http://www.insecam.org/en/view/526664/,http://95.9.143.108:60001/cgi-bin/snapshot.cgi?chn=0&u=admin&p=&q=0&COUNTER,"Live camera in Akdagmadeni, Turkey"
Aki,"Live camera in Japan, Aki",http://www.insecam.org/en/view/961703/,http://202.213.179.21:8001/jpg/image.jpg?COUNTER,"Live camera in Aki, Japan"
Aki,"Live camera in Japan, Aki",http://www.insecam.org/en/view/920219/,http://202.213.182.120:8001/jpg/image.jpg?COUNTER,"Live camera in Aki, Japan"
Al 'Annazah,"Live camera in Syria, Al 'Annazah",http://www.insecam.org/en/view/950892/,http://82.137.228.200:60001/cgi-bin/snapshot.cgi?chn=0&u=admin&p=&q=0&COUNTER,"Live camera in Al 'Annazah, Syria"
Al Marsa,"Live camera in Tunisia, AL MARSA",http://www.insecam.org/en/view/243112/,http://41.225.15.226:8001/mjpg/video.mjpg,"Live camera in AL MARSA, Tunisia"
Alamogordo,"Live camera in United States, Alamogordo",http://www.insecam.org/en/view/906885/,http://72.0.39.177:80/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Alamogordo, United States"
Alamogordo,"Live camera in United States, Alamogordo",http://www.insecam.org/en/view/900930/,http://72.0.39.178:80/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Alamogordo, United States"
Alamogordo,"Live camera in United States, Alamogordo",http://www.insecam.org/en/view/875373/,http://72.0.39.175:80/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Alamogordo, United States"
Albany,"Live camera in United States, Albany",http://www.insecam.org/en/view/1010704/,http://216.107.197.101:8086/mjpg/video.mjpg,"Live camera in Albany, United States"
Albany,"Live camera in United States, Albany",http://www.insecam.org/en/view/455398/,http://166.141.177.37:80/mjpg/video.mjpg,"Live camera in Albany, United States"
Albion,"Live camera in United States, Albion",http://www.insecam.org/en/view/722988/,http://72.43.65.9:80/mjpg/video.mjpg,"Live camera in Albion, United States"
Albion,"Live camera in United States, Albion",http://www.insecam.org/en/view/560424/,http://72.43.65.7:80/mjpg/video.mjpg,"Live camera in Albion, United States"
Albuquerque,"Live camera in United States, Albuquerque",http://www.insecam.org/en/view/983985/,http://64.106.64.27:80/nph-jpeg.cgi?0,"Live camera in Albuquerque, United States"
Albuquerque,"Live camera in United States, Albuquerque",http://www.insecam.org/en/view/976449/,http://64.106.64.26:80/nph-jpeg.cgi?0,"Live camera in Albuquerque, United States"
Alcazar De San Juan,"Live camera in Spain, Alcazar de San Juan",http://www.insecam.org/en/view/802056/,http://185.147.16.162:8888/out.jpg?q=30&id=0.1317044913727916&r=COUNTER,"Live camera in Alcazar de San Juan, Spain"
Alderley Edge,"Live camera in United Kingdom, ALDERLEY EDGE",http://www.insecam.org/en/view/237453/,http://81.133.30.194:82/mjpg/video.mjpg,"Live camera in ALDERLEY EDGE, United Kingdom"
Alesund,"Live camera in Norway, Alesund",http://www.insecam.org/en/view/850038/,http://83.243.191.198:8080/SnapshotJPEG?Resolution=640x480&amp;Quality=Clarity&amp;COUNTER,"Live camera in Alesund, Norway"
Alesund,"Live camera in Norway, Alesund",http://www.insecam.org/en/view/850037/,http://83.243.191.198:8081/SnapshotJPEG?Resolution=640x480&amp;Quality=Clarity&amp;COUNTER,"Live camera in Alesund, Norway"
Alesund,"Live camera in Norway, Alesund",http://www.insecam.org/en/view/717537/,http://213.184.198.246:8090/mjpg/video.mjpg,"Live camera in Alesund, Norway"
Alice Castello,"Live camera in Italy, Alice Castello",http://www.insecam.org/en/view/851494/,http://195.32.50.219:1024/oneshotimage1?COUNTER,"Live camera in Alice Castello, Italy"
Allendale,"Live camera in United States, ALLENDALE",http://www.insecam.org/en/view/238572/,http://71.83.5.155:80/mjpg/video.mjpg,"Live camera in ALLENDALE, United States"
Allendale,"Live camera in United States, ALLENDALE",http://www.insecam.org/en/view/238416/,http://24.176.28.158:80/mjpg/video.mjpg,"Live camera in ALLENDALE, United States"
Allendale,"Live camera in United States, ALLENDALE",http://www.insecam.org/en/view/238415/,http://24.176.28.158:81/mjpg/video.mjpg,"Live camera in ALLENDALE, United States"
Allendale,"Live camera in United States, ALLENDALE",http://www.insecam.org/en/view/168157/,http://71.83.5.157:80/mjpg/video.mjpg,"Live camera in ALLENDALE, United States"
Allendale,"Live camera in United States, ALLENDALE",http://www.insecam.org/en/view/168156/,http://71.83.5.156:80/mjpg/video.mjpg,"Live camera in ALLENDALE, United States"
Allentown,"Live camera in United States, ALLENTOWN",http://www.insecam.org/en/view/263475/,http://216.164.170.98:81/cgi-bin/camera?resolution=640&amp;quality=1&amp;Language=0&amp;COUNTER,"Live camera in ALLENTOWN, United States"
Almere Stad,"Live camera in Netherlands, Almere Stad",http://www.insecam.org/en/view/1004106/,http://89.99.162.183:80/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Almere Stad, Netherlands"
Alsbach,"Live camera in Germany, Alsbach",http://www.insecam.org/en/view/881124/,http://217.73.149.58:80/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Alsbach, Germany"
Alta,"Live camera in Norway, Alta",http://www.insecam.org/en/view/456105/,http://77.222.169.38:8080/cgi-bin/viewer/video.jpg?r=COUNTER,"Live camera in Alta, Norway"
Alta,"Live camera in Norway, ALTA",http://www.insecam.org/en/view/168417/,http://213.161.172.115:80/mjpg/video.mjpg,"Live camera in ALTA, Norway"
Altenfeld,"Live camera in Germany, Altenfeld",http://www.insecam.org/en/view/891141/,http://80.88.23.120:8080/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Altenfeld, Germany"
Altenfeld,"Live camera in Germany, Altenfeld",http://www.insecam.org/en/view/891140/,http://80.88.23.120:80/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Altenfeld, Germany"
Altstadt,"Live camera in Germany, Altstadt",http://www.insecam.org/en/view/514466/,http://217.92.24.53:8081/mjpg/video.mjpg,"Live camera in Altstadt, Germany"
Amagasaki,"Live camera in Japan, Amagasaki",http://www.insecam.org/en/view/866868/,http://128.22.30.18:80/cgi-bin/camera?resolution=640&amp;quality=1&amp;Language=0&amp;COUNTER,"Live camera in Amagasaki, Japan"
Amagasaki,"Live camera in Japan, Amagasaki",http://www.insecam.org/en/view/843755/,http://210.138.127.130:6002/SnapshotJPEG?Resolution=640x480&amp;Quality=Clarity&amp;COUNTER,"Live camera in Amagasaki, Japan"
Amersfoort,"Live camera in Netherlands, Amersfoort",http://www.insecam.org/en/view/945226/,http://77.160.68.211:8000/snap.jpg?JpegSize=M&JpegCam=1&r=COUNTER,"Live camera in Amersfoort, Netherlands"
Amersfoort,"Live camera in Netherlands, AMERSFOORT",http://www.insecam.org/en/view/261603/,http://80.60.87.209:8888/cgi-bin/camera?resolution=640&amp;quality=1&amp;Language=0&amp;COUNTER,"Live camera in AMERSFOORT, Netherlands"
Amersfoort,"Live camera in Netherlands, AMERSFOORT",http://www.insecam.org/en/view/241480/,http://86.92.91.44:80/mjpg/video.mjpg,"Live camera in AMERSFOORT, Netherlands"
Amot,"Live camera in Norway, Amot",http://www.insecam.org/en/view/757746/,http://195.204.130.122:80/cgi-bin/viewer/video.jpg?r=COUNTER,"Live camera in Amot, Norway"
Amsterdam,"Live camera in Netherlands, Amsterdam",http://www.insecam.org/en/view/1005018/,http://77.250.189.154:82/cgi-bin/camera?resolution=640&amp;quality=1&amp;Language=0&amp;COUNTER,"Live camera in Amsterdam, Netherlands"
Amstetten,"Live camera in Austria, AMSTETTEN",http://www.insecam.org/en/view/203011/,http://62.93.76.203:80/mjpg/video.mjpg,"Live camera in AMSTETTEN, Austria"
Anacortes,"Live camera in United States, ANACORTES",http://www.insecam.org/en/view/239941/,http://168.156.125.101:80/mjpg/video.mjpg,"Live camera in ANACORTES, United States"
Anchorage,"Live camera in United States, Anchorage",http://www.insecam.org/en/view/996318/,http://209.124.145.124:84/SnapshotJPEG?Resolution=640x480&amp;Quality=Clarity&amp;COUNTER,"Live camera in Anchorage, United States"
Anchorage,"Live camera in United States, Anchorage",http://www.insecam.org/en/view/919728/,http://209.124.145.124:82/SnapshotJPEG?Resolution=640x480&amp;Quality=Clarity&amp;COUNTER,"Live camera in Anchorage, United States"
Anchorage,"Live camera in United States, Anchorage",http://www.insecam.org/en/view/462887/,http://137.229.53.64:80/mjpg/video.mjpg,"Live camera in Anchorage, United States"
Andelsbuch,"Live camera in Austria, Andelsbuch",http://www.insecam.org/en/view/925272/,http://77.119.231.156:8080/?action=stream,"Live camera in Andelsbuch, Austria"
Ankara,"Live camera in Turkey, Ankara",http://www.insecam.org/en/view/983159/,http://78.186.67.194:50001/SnapshotJPEG?Resolution=640x480&amp;Quality=Clarity&amp;COUNTER,"Live camera in Ankara, Turkey"
Ankara,"Live camera in Turkey, Ankara",http://www.insecam.org/en/view/857881/,http://212.50.57.87:91/snap.jpg?JpegSize=M&JpegCam=1&r=COUNTER,"Live camera in Ankara, Turkey"
Ankara,"Live camera in Turkey, ANKARA",http://www.insecam.org/en/view/237603/,http://78.186.26.188:80/mjpg/video.mjpg,"Live camera in ANKARA, Turkey"
Ann Arbor,"Live camera in United States, Ann Arbor",http://www.insecam.org/en/view/504131/,http://141.213.132.251:80/mjpg/video.mjpg,"Live camera in Ann Arbor, United States"
Antwerpen,"Live camera in Belgium, Antwerpen",http://www.insecam.org/en/view/865168/,http://84.196.142.208:8080/?action=stream,"Live camera in Antwerpen, Belgium"
Aomori,"Live camera in Japan, Aomori",http://www.insecam.org/en/view/1010776/,http://153.135.243.34:60001/mjpg/video.mjpg,"Live camera in Aomori, Japan"
Apple River,"Live camera in United States, Apple River",http://www.insecam.org/en/view/475538/,http://74.112.140.118:8080/cgi-bin/viewer/video.jpg?r=COUNTER,"Live camera in Apple River, United States"
Arco,"Live camera in Italy, Arco",http://www.insecam.org/en/view/890720/,http://194.32.175.101:80/mjpg/video.mjpg,"Live camera in Arco, Italy"
Arevalo,"Live camera in Spain, Arevalo",http://www.insecam.org/en/view/981503/,http://2.136.2.155:8080/cgi-bin/viewer/video.jpg?r=COUNTER,"Live camera in Arevalo, Spain"
Arezzo,"Live camera in Italy, Arezzo",http://www.insecam.org/en/view/891154/,http://185.37.205.121:80/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Arezzo, Italy"
Armenis,"Live camera in Romania, Armenis",http://www.insecam.org/en/view/809459/,http://86.35.219.6:2000/tmpfs/auto.jpg?COUNTER,"Live camera in Armenis, Romania"
Armenis,"Live camera in Romania, Armenis",http://www.insecam.org/en/view/809356/,http://86.35.219.6:2002/tmpfs/auto.jpg?COUNTER,"Live camera in Armenis, Romania"
Arnold,"Live camera in United Kingdom, Arnold",http://www.insecam.org/en/view/551005/,http://81.187.169.212:80/mjpg/video.mjpg,"Live camera in Arnold, United Kingdom"
Arosa,"Live camera in Switzerland, Arosa",http://www.insecam.org/en/view/1010791/,http://85.4.30.236:80/mjpg/video.mjpg,"Live camera in Arosa, Switzerland"
Arroyo Grande,"Live camera in United States, Arroyo Grande",http://www.insecam.org/en/view/689228/,http://129.65.82.21:80/-wvhttp-01-/GetOneShot?image_size=640x480&frame_count=1000000000,"Live camera in Arroyo Grande, United States"
Asahi,"Live camera in Japan, Asahi",http://www.insecam.org/en/view/1010277/,http://218.219.218.52:8000/jpgmulreq/1/image.jpg?key=1516975535684&lq=1&COUNTER,"Live camera in Asahi, Japan"
Asahi,"Live camera in Japan, Asahi",http://www.insecam.org/en/view/1009617/,http://218.219.228.113:80/cgi-bin/camera?resolution=640&amp;quality=1&amp;Language=0&amp;COUNTER,"Live camera in Asahi, Japan"
Asahi,"Live camera in Japan, Asahi",http://www.insecam.org/en/view/1007423/,http://218.219.228.132:80/cgi-bin/camera?resolution=640&amp;quality=1&amp;Language=0&amp;COUNTER,"Live camera in Asahi, Japan"
Asahi,"Live camera in Japan, Asahi",http://www.insecam.org/en/view/983126/,http://219.121.11.202:80/SnapshotJPEG?Resolution=640x480&amp;Quality=Clarity&amp;COUNTER,"Live camera in Asahi, Japan"
Asahi,"Live camera in Japan, Asahi",http://www.insecam.org/en/view/945438/,http://124.155.121.218:3000/webcapture.jpg?command=snap&channel=1?COUNTER,"Live camera in Asahi, Japan"
Asahi,"Live camera in Japan, Asahi",http://www.insecam.org/en/view/925517/,http://218.219.195.166:8081/-wvhttp-01-/GetOneShot?image_size=640x480&frame_count=1000000000,"Live camera in Asahi, Japan"
Asahikawa,"Live camera in Japan, Asahikawa",http://www.insecam.org/en/view/689174/,http://124.155.75.190:80/-wvhttp-01-/GetOneShot?image_size=640x480&frame_count=1000000000,"Live camera in Asahikawa, Japan"
Aseri,"Live camera in Estonia, Aseri",http://www.insecam.org/en/view/824673/,http://185.193.62.156:8080/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Aseri, Estonia"
Ashibetsu,"Live camera in Japan, Ashibetsu",http://www.insecam.org/en/view/943197/,http://58.94.103.130:50000/cgi-bin/camera?resolution=640&amp;quality=1&amp;Language=0&amp;COUNTER,"Live camera in Ashibetsu, Japan"
Asiago,"Live camera in Italy, Asiago",http://www.insecam.org/en/view/963946/,http://159.255.152.116:60001/cgi-bin/snapshot.cgi?chn=0&u=admin&p=&q=0&COUNTER,"Live camera in Asiago, Italy"
Athens,"Live camera in Greece, Athens",http://www.insecam.org/en/view/809428/,http://84.254.30.185:1024/tmpfs/auto.jpg?COUNTER,"Live camera in Athens, Greece"
Athens,"Live camera in Greece, Athens",http://www.insecam.org/en/view/505045/,http://195.130.108.4:81/mjpg/video.mjpg,"Live camera in Athens, Greece"
Athens,"Live camera in United States, Athens",http://www.insecam.org/en/view/501960/,http://32.215.187.242:9000/SnapshotJPEG?Resolution=640x480&amp;Quality=Clarity&amp;COUNTER,"Live camera in Athens, United States"
Athens,"Live camera in United States, Athens",http://www.insecam.org/en/view/438712/,http://32.215.187.242:8000/SnapshotJPEG?Resolution=640x480&amp;Quality=Clarity&amp;COUNTER,"Live camera in Athens, United States"
Athens,"Live camera in Greece, Athens",http://www.insecam.org/en/view/242559/,http://195.97.20.246:80/mjpg/video.mjpg,"Live camera in Athens, Greece"
Athens,"Live camera in Greece, Athens",http://www.insecam.org/en/view/809428/,http://84.254.30.185:1024/tmpfs/auto.jpg?COUNTER,"Live camera in Athens, Greece"
Athens,"Live camera in Greece, Athens",http://www.insecam.org/en/view/505045/,http://195.130.108.4:81/mjpg/video.mjpg,"Live camera in Athens, Greece"
Athens,"Live camera in United States, Athens",http://www.insecam.org/en/view/501960/,http://32.215.187.242:9000/SnapshotJPEG?Resolution=640x480&amp;Quality=Clarity&amp;COUNTER,"Live camera in Athens, United States"
Athens,"Live camera in United States, Athens",http://www.insecam.org/en/view/438712/,http://32.215.187.242:8000/SnapshotJPEG?Resolution=640x480&amp;Quality=Clarity&amp;COUNTER,"Live camera in Athens, United States"
Athens,"Live camera in Greece, Athens",http://www.insecam.org/en/view/242559/,http://195.97.20.246:80/mjpg/video.mjpg,"Live camera in Athens, Greece"
Aubervilliers,"Live camera in France, Aubervilliers",http://www.insecam.org/en/view/1010697/,http://80.14.201.251:8010/mjpg/video.mjpg,"Live camera in Aubervilliers, France"
Aubervilliers,"Live camera in France, Aubervilliers",http://www.insecam.org/en/view/1010639/,http://217.128.167.86:60010/mjpg/video.mjpg,"Live camera in Aubervilliers, France"
Aubervilliers,"Live camera in France, Aubervilliers",http://www.insecam.org/en/view/962016/,http://80.14.198.34:82/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Aubervilliers, France"
Aubervilliers,"Live camera in France, Aubervilliers",http://www.insecam.org/en/view/948584/,http://217.128.94.112:8082/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Aubervilliers, France"
Aubervilliers,"Live camera in France, Aubervilliers",http://www.insecam.org/en/view/454624/,http://193.252.54.33:88/SnapshotJPEG?Resolution=640x480&amp;Quality=Clarity&amp;COUNTER,"Live camera in Aubervilliers, France"
Auckland,"Live camera in New Zealand, Auckland",http://www.insecam.org/en/view/451528/,http://103.37.205.23:8000/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Auckland, New Zealand"
Augsburg-Lechviertel,"Live camera in Germany, Augsburg-Lechviertel",http://www.insecam.org/en/view/947777/,http://80.153.205.89:81/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Augsburg-Lechviertel, Germany"
Augusta,"Live camera in United States, AUGUSTA",http://www.insecam.org/en/view/167346/,http://173.163.225.58:83/mjpg/video.mjpg,"Live camera in AUGUSTA, United States"
Avellino,"Live camera in Italy, Avellino",http://www.insecam.org/en/view/825694/,http://79.7.75.166:80/cgi-bin/camera?resolution=640&amp;quality=1&amp;Language=0&amp;COUNTER,"Live camera in Avellino, Italy"
Bac Giang,"Live camera in Viet Nam, Bac Giang",http://www.insecam.org/en/view/995907/,http://113.22.26.95:80/webcapture.jpg?command=snap&channel=1?COUNTER,"Live camera in Bac Giang, Viet Nam"
Bacau,"Live camera in Romania, Bacau",http://www.insecam.org/en/view/809350/,http://92.81.22.22:2000/tmpfs/auto.jpg?COUNTER,"Live camera in Bacau, Romania"
Bad Sobernheim,"Live camera in Germany, Bad Sobernheim",http://www.insecam.org/en/view/801769/,http://185.171.44.149:8001/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Bad Sobernheim, Germany"
Bad Steben,"Live camera in Germany, Bad Steben",http://www.insecam.org/en/view/555014/,http://217.5.204.230:80/mjpg/video.mjpg,"Live camera in Bad Steben, Germany"
Baia Mare,"Live camera in Romania, Baia Mare",http://www.insecam.org/en/view/637167/,http://82.78.93.16:80/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Baia Mare, Romania"
Bainbridge Island,"Live camera in United States, Bainbridge Island",http://www.insecam.org/en/view/854035/,http://204.238.8.30:8080/?action=stream,"Live camera in Bainbridge Island, United States"
Balti,"Live camera in Moldova, Republic Of, Balti",http://www.insecam.org/en/view/1010354/,http://178.168.90.3:80/jpgmulreq/1/image.jpg?key=1516975535684&lq=1&COUNTER,"Live camera in Balti, Moldova, Republic Of"
Baltimore,"Live camera in United States, Baltimore",http://www.insecam.org/en/view/723208/,http://205.215.255.11:80/mjpg/video.mjpg,"Live camera in Baltimore, United States"
Baltimore,"Live camera in United States, Baltimore",http://www.insecam.org/en/view/271555/,http://162.17.198.37:80/mjpg/video.mjpg,"Live camera in Baltimore, United States"
Bandung,"Live camera in Indonesia, Bandung",http://www.insecam.org/en/view/1010622/,http://103.110.9.212:91/mjpg/video.mjpg,"Live camera in Bandung, Indonesia"
Bangkok,"Live camera in Thailand, Bangkok",http://www.insecam.org/en/view/903146/,http://49.231.250.18:89/webcapture.jpg?command=snap&channel=1?COUNTER,"Live camera in Bangkok, Thailand"
Bangkok,"Live camera in Thailand, Bangkok",http://www.insecam.org/en/view/815795/,http://61.91.61.114:8080/cgi-bin/camera?resolution=640&amp;quality=1&amp;Language=0&amp;COUNTER,"Live camera in Bangkok, Thailand"
Banqiao,"Live camera in Taiwan, Province Of , Banqiao",http://www.insecam.org/en/view/714872/,http://123.193.228.231:83/cgi-bin/camera?resolution=640&amp;quality=1&amp;Language=0&amp;COUNTER,"Live camera in Banqiao, Taiwan, Province Of"
Banqiao,"Live camera in Taiwan, Province Of , Banqiao",http://www.insecam.org/en/view/714870/,http://123.193.228.231:86/cgi-bin/camera?resolution=640&amp;quality=1&amp;Language=0&amp;COUNTER,"Live camera in Banqiao, Taiwan, Province Of"
Banska Bystrica,"Live camera in Slovakia, Banska Bystrica",http://www.insecam.org/en/view/409140/,http://217.12.54.147:8080/cgi-bin/viewer/video.jpg?r=COUNTER,"Live camera in Banska Bystrica, Slovakia"
Barbastro,"Live camera in Spain, Barbastro",http://www.insecam.org/en/view/982776/,http://81.45.182.137:8000/SnapshotJPEG?Resolution=640x480&amp;Quality=Clarity&amp;COUNTER,"Live camera in Barbastro, Spain"
Barcelona,"Live camera in Spain, Barcelona",http://www.insecam.org/en/view/948601/,http://88.28.202.117:8084/cgi-bin/viewer/video.jpg?r=COUNTER,"Live camera in Barcelona, Spain"
Barcelona,"Live camera in Spain, Barcelona",http://www.insecam.org/en/view/932609/,http://80.32.138.43:80/cgi-bin/viewer/video.jpg?r=COUNTER,"Live camera in Barcelona, Spain"
Barcelona,"Live camera in Spain, Barcelona",http://www.insecam.org/en/view/442745/,http://80.32.125.254:8080/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Barcelona, Spain"
Barcelona,"Live camera in Spain, Barcelona",http://www.insecam.org/en/view/435100/,http://88.28.202.225:10000/snap.jpg?JpegSize=M&JpegCam=1&r=COUNTER,"Live camera in Barcelona, Spain"
Barcelona,"Live camera in Spain, Barcelona",http://www.insecam.org/en/view/352151/,http://195.77.185.114:8081/oneshotimage1?COUNTER,"Live camera in Barcelona, Spain"
Bari,"Live camera in Italy, Bari",http://www.insecam.org/en/view/817927/,http://77.89.39.134:1024/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Bari, Italy"
Barletta,"Live camera in Italy, Barletta",http://www.insecam.org/en/view/877938/,http://185.204.132.10:8080/webcapture.jpg?command=snap&channel=1?COUNTER,"Live camera in Barletta, Italy"
Barnstable,"Live camera in United States, Barnstable",http://www.insecam.org/en/view/827973/,http://50.199.215.189:80/mjpg/video.mjpg,"Live camera in Barnstable, United States"
Barnstable,"Live camera in United States, Barnstable",http://www.insecam.org/en/view/827414/,http://50.199.215.185:80/mjpg/video.mjpg,"Live camera in Barnstable, United States"
Bartlett,"Live camera in United States, Bartlett",http://www.insecam.org/en/view/757737/,http://50.246.145.122:80/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Bartlett, United States"
Baska,"Live camera in Czech Republic, Baska",http://www.insecam.org/en/view/740938/,http://185.82.236.32:80/mjpg/video.mjpg,"Live camera in Baska, Czech Republic"
Baska,"Live camera in Czech Republic, BASKA",http://www.insecam.org/en/view/257846/,http://91.187.63.35:88/mjpg/video.mjpg,"Live camera in BASKA, Czech Republic"
Bay City,"Live camera in United States, BAY CITY",http://www.insecam.org/en/view/168349/,http://24.180.232.6:8000/mjpg/video.mjpg,"Live camera in BAY CITY, United States"
Beaverton,"Live camera in United States, BEAVERTON",http://www.insecam.org/en/view/242016/,http://23.24.250.10:80/mjpg/video.mjpg,"Live camera in BEAVERTON, United States"
Becej,"Live camera in Serbia, Becej",http://www.insecam.org/en/view/387084/,http://91.102.231.82:8000/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Becej, Serbia"
Bedminster,"Live camera in United States, Bedminster",http://www.insecam.org/en/view/948037/,http://166.239.143.98:8081/-wvhttp-01-/GetOneShot?image_size=640x480&frame_count=1000000000,"Live camera in Bedminster, United States"
Bedminster,"Live camera in United States, Bedminster",http://www.insecam.org/en/view/935444/,http://166.252.152.10:81/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Bedminster, United States"
Bedminster,"Live camera in United States, Bedminster",http://www.insecam.org/en/view/927756/,http://166.241.194.19:82/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Bedminster, United States"
Bedminster,"Live camera in United States, Bedminster",http://www.insecam.org/en/view/918087/,http://166.252.152.30:81/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Bedminster, United States"
Bedminster,"Live camera in United States, Bedminster",http://www.insecam.org/en/view/902859/,http://166.252.152.15:81/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Bedminster, United States"
Bedminster,"Live camera in United States, Bedminster",http://www.insecam.org/en/view/902847/,http://166.252.152.15:82/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"Live camera in Bedminster, United States"
Beilngries,"Live camera in Germany, Beilngries",http://www.insecam.org/en/view/387586/,http://185.18.129.86:80/mjpg/video.mjpg,"Live camera in Beilngries, Germany"
Bekasi,"Live camera in Indonesia, Bekasi",http://www.insecam.org/en/view/934926/,http://103.217.216.197:8001/jpg/image.jpg?COUNTER,"Live camera in Bekasi, Indonesia"
Bela Crkva,"Live camera in Serbia, Bela Crkva",http://www.insecam.org/en/view/324950/,http://93.87.72.254:8084/mjpg/video.mjpg,"Live camera in Bela Crkva, Serbia"
Belgrade,"Live camera in Serbia, Belgrade",http://www.insecam.org/en/view/970825/,http://87.116.152.189:80/asp/video.cgi,"Live camera in Belgrade, Serbia"
Belgrade,"Live camera in Serbia, Belgrade",http://www.insecam.org/en/view/812476/,http://109.206.96.75:8080/cam_1.cgi,"Live camera in Belgrade, Serbia"
Belgrade,"Live camera in Serbia, Belgrade",http://www.insecam.org/en/view/570197/,http://109.206.96.58:8080/cam_1.cgi,"Live camera in Belgrade, Serbia"
Belgrade,"Live camera in Serbia, Belgrade",http://www.insecam.org/en/view/440906/,http://109.206.96.249:8080/cam_1.cgi,"Live camera in Belgrade, Serbia"
Belgrade,"Live camera in Serbia, Belgrade",http://www.insecam.org/en/view/435700/,http://109.206.96.230:8080/cam_1.cgi,"Live camera in Belgrade, Serbia"
Belgrade,"Live camera in Serbia, Belgrade",http://www.insecam.org/en/view/371859/,http://109.206.96.98:8080/cam_1.cgi,"Live camera in Belgrade, Serbia"
